Protein Accession	DNA Accession	AMR Gene Family	Drug Class	Resistance Mechanism
AVM85874.1	MG384739.1	N/A	peptide antibiotic	antibiotic target alteration
ANR95875.1	KX236309.1	N/A	peptide antibiotic	N/A
ANJ15621.1	KU934208.1	N/A	N/A	antibiotic target alteration
UGY30527.1	OL624718.1	N/A	N/A	N/A
APM87143.1	KY041856.1	N/A	N/A	N/A
APM84488.1	KY283125.1	N/A	N/A	N/A
AQK48217.1	KY352406.1	N/A	N/A	N/A
AQQ11622.1	KY488488.1	N/A	peptide antibiotic	N/A
AQY61516.1	KY683842.1	N/A	peptide antibiotic	N/A
AVA31022.1	KY780959.1	N/A	peptide antibiotic	N/A
SBV31106.1	LT598652.1	MCR phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
ASK49941.1	MF176239.1	N/A	peptide antibiotic	N/A
ASF81896.1	KY924928.1	MCR phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
ATQ63376.1	MG214531.1	N/A	N/A	N/A
AUN87920.1	MG489958.1	N/A	peptide antibiotic	antibiotic target alteration
AVZ47168.1	MG564491.1	N/A	N/A	antibiotic target alteration
OYN70668.1	NMWW01000143.1	N/A	N/A	N/A
ASU10319.1	MF495680.1	N/A	peptide antibiotic	N/A
SBZ31568.1	FLXA01000011.1	N/A	N/A	antibiotic target alteration
MBA2799562.1	JACEGL010000001.1	MCR phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
ASU04896.1	MF489760.1	N/A	peptide antibiotic	antibiotic target alteration
AST36140.1	MF598076.1	N/A	peptide antibiotic	antibiotic target alteration
AST36141.1	MF598077.1	N/A	peptide antibiotic	antibiotic target alteration
AST36143.1	MF598079.1	N/A	N/A	N/A
AST36144.1	MF598080.1	N/A	N/A	antibiotic target alteration
ASR73329.1	MF543359.1	MCR phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
AVK94777.1	MG822663.1	N/A	peptide antibiotic	N/A
AUI38915.1	MG026621.1	N/A	peptide antibiotic	N/A
AVK94779.1	MG822665.1	N/A	N/A	antibiotic target alteration
AVK94778.1	MG822664.1	MCR phosphoethanolamine transferase	N/A	antibiotic target alteration
ASK40551.1	KY807920.1	MCR phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
AVM85875.1	MG384740.1	N/A	peptide antibiotic	N/A
ASK49942.1	MF176240.1	MCR phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
AUR80098.1	MG267386.1	MCR phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
AVX52225.1	MG736312.1	MCR phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
WP_001572373.1	NC_021819.1	MCR phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration
WP_002289367.1	NZ_CP044221.1	major facilitator superfamily (MFS) antibiotic efflux pump	aminoglycoside antibiotic;disinfecting agents and antiseptics;fluoroquinolone antibiotic;penam;tetracycline antibiotic	antibiotic efflux
AAL19306.1	AE006468.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	carbapenem;cephalosporin;cephamycin;monobactam;penam;penem;phenicol antibiotic	antibiotic efflux
AAL19305.1	AE006468.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	carbapenem;cephalosporin;cephamycin;monobactam;penam;penem;phenicol antibiotic	antibiotic efflux
AAL19304.1	AE006468.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	carbapenem;cephalosporin;cephamycin;monobactam;penam;penem;phenicol antibiotic	antibiotic efflux
AAC75135.2	U00096.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic	antibiotic efflux
AAC75136.1	U00096.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic	antibiotic efflux
AAC75137.1	U00096.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic	antibiotic efflux
BAE77781.1	AP009048.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;macrolide antibiotic;penam	antibiotic efflux
AAC76539.1	U00096.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;macrolide antibiotic;penam	antibiotic efflux
ABV18113.1	CP000800.1	major facilitator superfamily (MFS) antibiotic efflux pump	phosphonic acid antibiotic	antibiotic efflux
AAC74149.2	U00096.1	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic	antibiotic efflux
AML99881.1	CP014358.1	multidrug and toxic compound extrusion (MATE) transporter	fluoroquinolone antibiotic	antibiotic efflux
AAC77293.1	U00096.3	major facilitator superfamily (MFS) antibiotic efflux pump	disinfecting agents and antiseptics;fluoroquinolone antibiotic;lincosamide antibiotic;nucleoside antibiotic;phenicol antibiotic	antibiotic efflux
BAE78084.1	AP009048.1	major facilitator superfamily (MFS) antibiotic efflux pump	disinfecting agents and antiseptics;nucleoside antibiotic	antibiotic efflux
BAE78083.1	AP009048.1	major facilitator superfamily (MFS) antibiotic efflux pump	disinfecting agents and antiseptics;nucleoside antibiotic	antibiotic efflux
BAE78082.1	AP009048.1	major facilitator superfamily (MFS) antibiotic efflux pump	disinfecting agents and antiseptics;nucleoside antibiotic	antibiotic efflux
AGC51118.1	KC243783.1	methicillin resistant PBP2	N/A	antibiotic target replacement
BAI83385.1	AB498758.1	methicillin resistant PBP2	N/A	antibiotic target replacement
CCC86795.1	FR821779.1	methicillin resistant PBP2	N/A	antibiotic target replacement
CBZ41939.1	FR823292.1	BlaZ beta-lactamase	penam	antibiotic inactivation
CCC86797.1	FR821779.1	methicillin resistant PBP2	N/A	antibiotic target replacement
AQX82857.1	KY013611.1	methicillin resistant PBP2	N/A	antibiotic target replacement
BAB41258.1	BA000018.3	methicillin resistant PBP2	penam	antibiotic target replacement
ABQ47844.1	CP000703.1	methicillin resistant PBP2	N/A	antibiotic target replacement
ACJ63262.1	FJ196385.1	major facilitator superfamily (MFS) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux
BAL43360.1	AB571865.1	major facilitator superfamily (MFS) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux
QHW12307.1	MN728681.1	major facilitator superfamily (MFS) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux
AAK99775.1	AE007317.1	major facilitator superfamily (MFS) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux
AAF74725.1	AF251288.1	major facilitator superfamily (MFS) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux
QNR09091.1	CP046364.1	major facilitator superfamily (MFS) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux
QQM99829.1	MW269960.1	major facilitator superfamily (MFS) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux
QQA64076.1	CP065927.1	major facilitator superfamily (MFS) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux
AAL73129.1	AF227521.1	msr-type ABC-F protein	macrolide antibiotic;streptogramin antibiotic	antibiotic target protection
AAU95768.1	AY661734.1	multidrug and toxic compound extrusion (MATE) transporter	glycylcycline;tetracycline antibiotic	antibiotic efflux
BAB56495.1	BA000017.4	multidrug and toxic compound extrusion (MATE) transporter	glycylcycline;tetracycline antibiotic	antibiotic efflux
AAG03814.1	AE004091.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic;carbapenem;cephalosporin;cephamycin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;macrolide antibiotic;monobactam;penam;penem;peptide antibiotic;phenicol antibiotic;sulfonamide antibiotic;tetracycline antibiotic	antibiotic efflux
AAA74437.1	L11616.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic;carbapenem;cephalosporin;cephamycin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;macrolide antibiotic;monobactam;penam;penem;peptide antibiotic;phenicol antibiotic;sulfonamide antibiotic;tetracycline antibiotic	antibiotic efflux
AAB41956.1	U57969.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic;aminoglycoside antibiotic;cephalosporin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;macrolide antibiotic;penam;phenicol antibiotic;tetracycline antibiotic	antibiotic efflux
AAB41957.1	U57969.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic;aminoglycoside antibiotic;cephalosporin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;macrolide antibiotic;penam;phenicol antibiotic;tetracycline antibiotic	antibiotic efflux
AAG05881.1	AE004091.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	diaminopyrimidine antibiotic;fluoroquinolone antibiotic;phenicol antibiotic	antibiotic efflux
AAG05882.1	AE004091.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	diaminopyrimidine antibiotic;fluoroquinolone antibiotic;phenicol antibiotic	antibiotic efflux
AAG07592.1	AE004091.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	disinfecting agents and antiseptics;fluoroquinolone antibiotic;tetracycline antibiotic	antibiotic efflux
AAG07593.1	AE004091.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	disinfecting agents and antiseptics;fluoroquinolone antibiotic;tetracycline antibiotic	antibiotic efflux
AAG07594.1	AE004091.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	disinfecting agents and antiseptics;fluoroquinolone antibiotic;tetracycline antibiotic	antibiotic efflux
AAG07065.1	AE004091.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	disinfecting agents and antiseptics;macrolide antibiotic;tetracycline antibiotic	antibiotic efflux
AAG07064.1	AE004091.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	disinfecting agents and antiseptics;macrolide antibiotic;tetracycline antibiotic	antibiotic efflux
AAG07066.1	AE004091.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	disinfecting agents and antiseptics;macrolide antibiotic;tetracycline antibiotic	antibiotic efflux
BAE06005.1	AB219523.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux
BAE06006.1	AB219523.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux
BAE06007.1	AB219524.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	carbapenem;diaminopyrimidine antibiotic;disinfecting agents and antiseptics;macrolide antibiotic;phenicol antibiotic;tetracycline antibiotic	antibiotic efflux
BAE06008.1	AB219524.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	carbapenem;diaminopyrimidine antibiotic;disinfecting agents and antiseptics;macrolide antibiotic;phenicol antibiotic;tetracycline antibiotic	antibiotic efflux
AAG03813.1	AE004091.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic;carbapenem;cephalosporin;cephamycin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;macrolide antibiotic;monobactam;penam;penem;peptide antibiotic;phenicol antibiotic;sulfonamide antibiotic;tetracycline antibiotic	antibiotic efflux;antibiotic target alteration
ADT64081.1	HQ433550.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	diaminopyrimidine antibiotic;fluoroquinolone antibiotic;phenicol antibiotic	antibiotic efflux
AAG05880.1	AE004091.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	diaminopyrimidine antibiotic;fluoroquinolone antibiotic;phenicol antibiotic	antibiotic efflux
AAG07762.1	AE004091.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	disinfecting agents and antiseptics;fluoroquinolone antibiotic;macrolide antibiotic;phenicol antibiotic;tetracycline antibiotic	antibiotic efflux
AAG07763.1	NC_002516.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	disinfecting agents and antiseptics;fluoroquinolone antibiotic;macrolide antibiotic;phenicol antibiotic;tetracycline antibiotic	antibiotic efflux
BAA34299.1	AB015853.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic;carbapenem;cephalosporin;cephamycin;disinfecting agents and antiseptics;fluoroquinolone antibiotic;macrolide antibiotic;penam;phenicol antibiotic;tetracycline antibiotic	antibiotic efflux
BAA34300.1	AB015853.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic;carbapenem;cephalosporin;cephamycin;disinfecting agents and antiseptics;fluoroquinolone antibiotic;macrolide antibiotic;penam;phenicol antibiotic;tetracycline antibiotic	antibiotic efflux
AAG05408.1	AE004091.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic;carbapenem;cephalosporin;cephamycin;disinfecting agents and antiseptics;fluoroquinolone antibiotic;macrolide antibiotic;penam;phenicol antibiotic;tetracycline antibiotic	antibiotic efflux
NP_415632.1	NC_000913.3	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
CCP46182.1	AL123456.1	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection
BAB41874.1	BA000018.3	ATP-binding cassette (ABC) antibiotic efflux pump;major facilitator superfamily (MFS) antibiotic efflux pump	cephalosporin;disinfecting agents and antiseptics;fluoroquinolone antibiotic;penam;peptide antibiotic;tetracycline antibiotic	antibiotic efflux
NP_416340.1	NC_000913.3	N/A	N/A	resistance by absence
ABA28305.2	DQ185434.2	mgt macrolide glycotransferase	macrolide antibiotic	antibiotic inactivation
AAD22636.1	M37839.2	MIR beta-lactamase	cephalosporin;monobactam	antibiotic inactivation
AIT76111.1	KM087858.1	MIR beta-lactamase	cephalosporin;monobactam	antibiotic inactivation
AIT76112.1	KM087859.1	MIR beta-lactamase	cephalosporin;monobactam	antibiotic inactivation
AIT76116.1	KM087863.1	MIR beta-lactamase	cephalosporin;monobactam	antibiotic inactivation
AIT76115.1	KM087862.1	MIR beta-lactamase	cephalosporin;monobactam	antibiotic inactivation
AIT76117.1	KM087864.1	MIR beta-lactamase	cephalosporin;monobactam	antibiotic inactivation
AIT76104.1	KM087851.1	MIR beta-lactamase	cephalosporin;monobactam	antibiotic inactivation
AIT76114.1	KM087861.1	MIR beta-lactamase	cephalosporin;monobactam	antibiotic inactivation
CEA29752.1	LN515535.1	MIR beta-lactamase	cephalosporin;monobactam	antibiotic inactivation
WP_063860839.1	NG_049302.1	MIR beta-lactamase	cephalosporin;monobactam	antibiotic inactivation
WP_045354584.1	NG_050721.1	MIR beta-lactamase	cephalosporin;monobactam	antibiotic inactivation
AAO42602.1	AY227752.1	MIR beta-lactamase	cephalosporin;monobactam	antibiotic inactivation
WP_044597278.1	NG_050722.1	MIR beta-lactamase	cephalosporin;monobactam	antibiotic inactivation
WP_045372339.1	NG_050723.1	MIR beta-lactamase	cephalosporin;monobactam	antibiotic inactivation
WP_099156057.1	NG_055671.1	MIR beta-lactamase	cephalosporin;monobactam	antibiotic inactivation
AIG20028.1	KJ949106.1	MIR beta-lactamase	cephalosporin;monobactam	antibiotic inactivation
AAU95779.1	AY743435.1	MIR beta-lactamase	cephalosporin;monobactam	antibiotic inactivation
ABN69112.2	EF417572.2	MIR beta-lactamase	cephalosporin;monobactam	antibiotic inactivation
AJO16037.1	KP050484.1	MIR beta-lactamase	cephalosporin;monobactam	antibiotic inactivation
AFJ79785.1	JQ664733.1	MIR beta-lactamase	cephalosporin;monobactam	antibiotic inactivation
WP_045409557.1	NG_049308.1	MIR beta-lactamase	cephalosporin;monobactam	antibiotic inactivation
AIT76113.1	KM087860.1	MIR beta-lactamase	cephalosporin;monobactam	antibiotic inactivation
VWQ04090.1	LR730402.1	ATP-binding cassette (ABC) antibiotic efflux pump	oxazolidinone antibiotic	antibiotic efflux
VWQ04088.1	LR730402.1	ATP-binding cassette (ABC) antibiotic efflux pump	oxazolidinone antibiotic	antibiotic efflux
WP_060874262.1	NG_051495.1	MOC beta-lactamase	carbapenem	antibiotic inactivation
WP_063860842.1	NG_049310.1	MOR beta-lactamase	cephalosporin	antibiotic inactivation
N/A	CP002005.1	23S rRNA with mutation conferring resistance to macrolide antibiotics	macrolide antibiotic	antibiotic target alteration
AAX99225.1	AY905613.1	General Bacterial Porin with reduced permeability to beta-lactams	carbapenem;cephalosporin;cephamycin;monobactam;penam;penem	reduced permeability to antibiotic;resistance by absence
AGG29535.1	CP004345.1	fluoroquinolone resistant gyrB	fluoroquinolone antibiotic	antibiotic target alteration
BAA02563.2	D13304.2	MOX beta-lactamase	cephalosporin;cephamycin;penam	antibiotic inactivation
WP_063860843.1	NG_049312.1	MOX beta-lactamase	cephalosporin;cephamycin;penam	antibiotic inactivation
WP_063860844.1	NG_049313.1	MOX beta-lactamase	cephalosporin;cephamycin;penam	antibiotic inactivation
WP_043155783.1	NG_049314.1	MOX beta-lactamase	cephalosporin;cephamycin;penam	antibiotic inactivation
WP_096807444.1	NG_055585.1	MOX beta-lactamase	cephalosporin;cephamycin;penam	antibiotic inactivation
WP_156404654.1	NG_067143.1	MOX beta-lactamase	cephalosporin;cephamycin;penam	antibiotic inactivation
CAB82578.1	AJ276453.1	MOX beta-lactamase	cephalosporin;cephamycin;penam	antibiotic inactivation
ACA30419.1	EU515248.1	MOX beta-lactamase	cephalosporin;cephamycin;penam	antibiotic inactivation
ACI89425.1	FJ262599.1	MOX beta-lactamase	cephalosporin;cephamycin;penam	antibiotic inactivation
ACS44783.1	GQ152600.1	MOX beta-lactamase	cephalosporin;cephamycin;penam	antibiotic inactivation
ACS44784.1	GQ152601.1	MOX beta-lactamase	cephalosporin;cephamycin;penam	antibiotic inactivation
ACS44785.1	GQ152602.1	MOX beta-lactamase	cephalosporin;cephamycin;penam	antibiotic inactivation
AGH56079.1	JX173956.1	MOX beta-lactamase	cephalosporin;cephamycin;penam	antibiotic inactivation
AIG22447.1	KJ746495.1	MOX beta-lactamase	cephalosporin;cephamycin;penam	antibiotic inactivation
BAA03776.1	D16251.1	macrolide phosphotransferase (MPH)	macrolide antibiotic	antibiotic inactivation
BAA12910.1	D85892.1	macrolide phosphotransferase (MPH)	macrolide antibiotic	antibiotic inactivation
BAA34540.1	AB013298.1	macrolide phosphotransferase (MPH)	macrolide antibiotic	antibiotic inactivation
ABI20451.1	DQ839391.1	macrolide phosphotransferase (MPH)	macrolide antibiotic	antibiotic inactivation
CAJ98570.1	AM260957.1	macrolide phosphotransferase (MPH)	macrolide antibiotic	antibiotic inactivation
BAL43359.1	AB571865.1	macrolide phosphotransferase (MPH)	macrolide antibiotic	antibiotic inactivation
ACU86041.1	CP001643.1	macrolide phosphotransferase (MPH)	macrolide antibiotic	antibiotic inactivation
APB03226.1	KX531056.1	macrolide phosphotransferase (MPH)	macrolide antibiotic	antibiotic inactivation
ATL63232.1	KY753883.1	macrolide phosphotransferase (MPH)	macrolide antibiotic	antibiotic inactivation
AJE92936.1	CP010314.1	macrolide phosphotransferase (MPH)	macrolide antibiotic	antibiotic inactivation
EEL41021.1	ACMJ01000036.1	macrolide phosphotransferase (MPH)	macrolide antibiotic	antibiotic inactivation
AMR06225.1	CP014284.1	macrolide phosphotransferase (MPH)	macrolide antibiotic	antibiotic inactivation
AHE40505.1	KF648874.1	macrolide phosphotransferase (MPH)	macrolide antibiotic	antibiotic inactivation
WP_050815728.1	NZ_AGSO01000004.1	macrolide phosphotransferase (MPH)	macrolide antibiotic	antibiotic inactivation
AAB64408.1	U92073.1	major facilitator superfamily (MFS) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux
AAC74000.1	U00096.3	ATP-binding cassette (ABC) antibiotic efflux pump	nitroimidazole antibiotic	antibiotic efflux
AJP77057.1	KP109676.1	MSI beta-lactamase	carbapenem	antibiotic inactivation
AJP77058.1	KP109676.1	MSI-OXA family beta-lactamase	carbapenem	antibiotic inactivation
CAA36304.1	X52085.1	msr-type ABC-F protein	macrolide antibiotic;streptogramin B antibiotic;streptogramin antibiotic	antibiotic target protection
AAA26657.1	M81802.1	msr-type ABC-F protein	macrolide antibiotic;streptogramin B antibiotic;streptogramin antibiotic	antibiotic target protection
AAK01167.1	AF313494.1	msr-type ABC-F protein	macrolide antibiotic;streptogramin B antibiotic;streptogramin antibiotic	antibiotic target protection
ACB05808.1	EU294228.1	msr-type ABC-F protein	macrolide antibiotic;streptogramin antibiotic	antibiotic target protection
QHW12375.1	MN728682.1	msr-type ABC-F protein	macrolide antibiotic;streptogramin antibiotic	antibiotic target protection
QNR09092.1	CP046364.1	msr-type ABC-F protein	macrolide antibiotic;streptogramin antibiotic	antibiotic target protection
DAC81085.1	BK011995.1	msr-type ABC-F protein	macrolide antibiotic;streptogramin antibiotic	antibiotic target protection
QQA64075.1	CP065927.1	msr-type ABC-F protein	macrolide antibiotic;streptogramin antibiotic	antibiotic target protection
CCP46065.1	AL123456.3	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;penam	antibiotic efflux
AAF42063.1	AE002098.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;penam	antibiotic efflux
AAF42062.1	AE002098.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;penam	antibiotic efflux
CAA64891.1	X95635.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;penam	antibiotic efflux
ACF30254.1	CP001050.1	major facilitator superfamily (MFS) antibiotic efflux pump;resistance-nodulation-cell division (RND) antibiotic efflux pump	antibacterial free fatty acids;macrolide antibiotic;penam	antibiotic efflux
AAN63647.1	AF441286.1	MUS beta-lactamase	carbapenem	antibiotic inactivation
AKN19901.1	KP658209.1	MUS beta-lactamase	carbapenem	antibiotic inactivation
AAG05916.1	AE004091.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic;macrolide antibiotic;monobactam;tetracycline antibiotic	antibiotic efflux
AAG05915.1	AE004091.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic;macrolide antibiotic;monobactam;tetracycline antibiotic	antibiotic efflux
AAG05914.1	AE004091.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminocoumarin antibiotic;macrolide antibiotic;monobactam;tetracycline antibiotic	antibiotic efflux
NP_253005.1	NC_002516.2	resistance-nodulation-cell division (RND) antibiotic efflux pump	diaminopyrimidine antibiotic;fluoroquinolone antibiotic;phenicol antibiotic	antibiotic efflux
N/A	NG_041979.1	23S rRNA with mutation conferring resistance to macrolide antibiotics	macrolide antibiotic	antibiotic target alteration
N/A	NR_076151.1	23S rRNA with mutation conferring resistance to macrolide antibiotics	macrolide antibiotic	antibiotic target alteration
N/A	NZ_CP019883.1	23S rRNA with mutation conferring resistance to macrolide antibiotics	macrolide antibiotic	antibiotic target alteration
CAC29732.1	AL450380.1	dapsone resistant dihydropteroate synthase folP	N/A	antibiotic target alteration
CAC29514.1	AL450380.1	fluoroquinolone resistant gyrA	fluoroquinolone antibiotic	antibiotic target alteration
CAC29513.1	AL450380.1	fluoroquinolone resistant gyrB	fluoroquinolone antibiotic	antibiotic target alteration
CAC30845.1	AL450380.1	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	rifamycin antibiotic	antibiotic target alteration;antibiotic target replacement
N/A	AL123456.3	16s rRNA with mutation conferring resistance to aminoglycoside antibiotics	aminoglycoside antibiotic	antibiotic target alteration
N/A	AL123456.3	16s rRNA with mutation conferring resistance to aminoglycoside antibiotics	N/A	antibiotic target alteration
N/A	AL123456.3	16s rRNA with mutation conferring resistance to peptide antibiotics	peptide antibiotic	antibiotic target alteration
N/A	AL123456.3	23s rRNA with mutation conferring resistance to aminoglycoside antibiotics	aminoglycoside antibiotic	antibiotic target alteration
CCP46621.1	AL123456.3	ethambutol resistant aftA	polyamine antibiotic	antibiotic target alteration
CCP45220.1	AL123456.3	Isoniazid resistant ahpC	isoniazid-like antibiotic	antibiotic target alteration
CCP45579.1	AL123456.3	cycloserine resistant ald	cycloserine-like antibiotic	antibiotic target alteration
CCP46245.1	AL123456.3	cycloserine resistant alr	cycloserine-like antibiotic	antibiotic target alteration
CCP46419.1	AL123456.3	pyrazinamide resistant clpC1	pyrazine antibiotic	antibiotic target alteration
CCP45786.1	AL123456.3	cycloserine resistant ddlA	N/A	antibiotic target alteration
CCP44549.1	AL123456.3	fluoroquinolone resistant eccB5	fluoroquinolone antibiotic	antibiotic target alteration
CCP44550.1	AL123456.3	fluoroquinolone resistant eccC5	fluoroquinolone antibiotic	antibiotic target alteration
CCP45207.1	AL123456.3	kanamycin resistant eis	aminoglycoside antibiotic	antibiotic target alteration
AFN51820.1	CP003248.1	ethambutol resistant embA	N/A	antibiotic target alteration
CCP46624.1	AL123456.1	ethambutol resistant embB	polyamine antibiotic	antibiotic target alteration
AAK48268.1	AE000516.1	rifamycin-resistant arabinosyltransferase	rifamycin antibiotic	antibiotic target alteration
AFN51819.1	CP003248.2	ethambutol resistant embC	polyamine antibiotic	antibiotic target alteration
CCP44023.1	AL123456.3	ethambutol resistant embR	polyamine antibiotic	antibiotic target alteration
NP_218371.1	NC_000962.3	isoniazid resistant ethA	N/A	antibiotic target alteration
NP_218371.1	NC_000962.3	perchlozone resistant ethA	thiosemicarbazone antibiotic	antibiotic target alteration
NP_218371.1	NC_000962.3	prothionamide resistant ethA	N/A	antibiotic target alteration
AAK48336.1	AE000516.2	ethionamide resistant ethA	thioamide antibiotic	antibiotic target alteration
CCP44243.1	AL123456.3	Ethionamide resistant fabG1	thioamide antibiotic	antibiotic target alteration
CCP44243.1	AL123456.3	isoniazid resistant fabG1	isoniazid-like antibiotic	antibiotic target alteration
CCP45240.1	AL123456.3	aminosalicylate resistant dihydrofolate synthase	salicylic acid antibiotic	antibiotic target alteration
CCP44676.1	AL123456.3	isoniazid resistant furA	isoniazid-like antibiotic	antibiotic target alteration
CCP46748.1	AL123456.3	antibiotic resistant gidB	aminoglycoside antibiotic	antibiotic target alteration
CCP45582.1	AL123456.3	pyrazinamide resistant gpsI	pyrazine antibiotic	antibiotic target alteration
CCP42728.1	AL123456.1	fluoroquinolone resistant gyrA	fluoroquinolone antibiotic	antibiotic target alteration
CAA55486.1	X78888.1	fluoroquinolone resistant gyrB	fluoroquinolone antibiotic	antibiotic target alteration
CCP43004.1	AL123456.3	isoniazid resistant inbR	isoniazid-like antibiotic	antibiotic target alteration
CCP44244.1	AL123456.3	inhA with mutations with conferring resistance to ethionamide	thioamide antibiotic	antibiotic target alteration
CCP44244.1	AL123456.1	isoniazid resistant inhA	N/A	antibiotic target alteration
CCP43072.1	AL123456.1	Ethambutol resistant iniA	polyamine antibiotic	antibiotic efflux;antibiotic target alteration
CCP43071.1	AL123456.3	Ethambutol resistant iniB	polyamine antibiotic	antibiotic efflux;antibiotic target alteration
CCP43073.1	AL123456.1	Ethambutol resistant iniC	polyamine antibiotic	antibiotic efflux;antibiotic target alteration
CCE36834.1	HE608151.1	antibiotic-resistant murA transferase	N/A	antibiotic target alteration
CCP45025.1	AL123456.1	antibiotic resistant kasA	N/A	antibiotic target alteration
CCP44675.1	AL123456.3	isoniazid resistant katG	isoniazid-like antibiotic	antibiotic target alteration
CCP44675.1	AL123456.3	prothionamide resistant katG	thioamide antibiotic	antibiotic target alteration
CCP45743.1	AL123456.3	pyrazinamide resistant mas	pyrazine antibiotic	antibiotic target alteration
CCP43386.1	AL123456.3	isoniazid resistant mmaA3	isoniazid-like antibiotic	antibiotic target alteration
CCP43220.1	AL123456.3	isoniazid resistant mshA	isoniazid-like antibiotic	antibiotic target alteration
NP_215000.1	NC_000962.3	prothionamide resistant mshA	thioamide antibiotic	antibiotic target alteration
CCP44905.1	AL123456.3	ethionamide resistant mshC	thioamide antibiotic	antibiotic target alteration
CCP44905.1	AL123456.3	isoniazid resistant mshC	isoniazid-like antibiotic	antibiotic target alteration
NP_217599.1	NC_000962.3	isoniazid resistant mymA	isoniazid-like antibiotic	antibiotic target alteration
CCP46388.1	AL123456.3	isoniazid resistant nat	isoniazid-like antibiotic	antibiotic target alteration
